example_id,sentence,label,new_label,reason
6039,"White supremacists say that blacks are dumb, inferior, violent and criminals and they believe that if the Jews didn't exist to fool everyone into desegregation all those problems would go away. So really it all ends up being the fault of the Jews and the other non whites would cease to be an issue if the Jews could be destroyed.",nothate,hate," PC, tier 1 attack, hate slur used, no exception."
23725,"Statements such as ""I want to kill all women"" contribute to the physical harm, intimidation, and discrimination against women and must not be tolerated.",nothate,hate," PC: Women, Tier 1 attack, more than half targeted."
2268,It's no surprise Muslim men are sexual predators.,hate,hate," PC, tier 1 attack, sexual predators."
4191,"In a just world, gay people like you would all be dead.",hate,hate," PC: sexual orientation, tier 1 attack, calls for death"
29047,No one should have the right to change someone else's sexual orientation or gender identity.,nothate,nothate," No PC, no tier attack, no slur used"
24826,i think most jewish people would agree that rapists are scum of the earth,nothate,nothate," No PC, no tier attack, no slur used"
15420,I am shit,nothate,nothate," No PC or Q-PC, no tier attack, no slur."
12058,#ChineseVirus Fuck china virus Fuck Chinese food. You are suck.,hate,hate," PC, tier 1 attack, hate slur used, no exception."
9021,jews are vile animals,hate,hate," Tier 1 attack, PC, dehumanizing speech, slur used."
5998,it is disgusting to see so much hate for 'selfish jews',nothate,hate," PC, tier 1 attack, more than half targeted"
6394,"Save the Children is fucking useless, I bet it is run by a bunch of gays",hate,hate," PC, tier 1 attack, slur used against sexual orientation."
9308,"The working class are tired of being called a bunch of uneducated, inbred, racist idiots",nothate,nothate," No PC, no tier attack, no slur used"
5700,"The shitskin cowards came by sheer numbers, but we had the biggest balls when we kicked your asses back to the desert. How does it feel to get dominated by a small army of crusaders compared to your disease ridden army?",hate,hate," Hate slur ""shitskin"" used, no exception, tier 1 attack, PC."
6001,fuck whores and their shitty clothes,hate,hate," Hate slur ""whore"" used, no exception, derogatory terms, no PC."
28932,"Gender identity charity Mermaids said that people face a long wait for access to such services, that they can save lives and that very few people regret their decision",nothate,nothate," No PC, no slur used, no tier attack"
2260,The Muslim community is just a bunch of pedophiles.,hate,hate," PC, tier 1 attack, no hate slur exception."
29142,DEATH TO ALL NIGGERS! that was what my neighbour shouted at me today.,nothate,hate," Hate slur used, PC, tier 1 attack, no exception"
9646,"I wanna fuck young girls, they taste amazing",hate,nothate," No PC or Q-PC, no tier attack, no hate slur."
17440,"Those that say refugees and immigrants are thieves, dangerous criminals and lazy people are wrong",nothate,hate," Tier 1 attack, PC, more than half targeted."
6774,Disbaled people are freaking weridos who should not exist,hate,hate," PC, tier 1 attack, more than half targeted"
7044,terrorism is very backwards,nothate,nothate," No PC, No Q-PC, No slur used"
7082,Males are more powerful than females,hate,nothate," PC, tier 2 attack, less than half targeted"
12443,"Ugly chinks, as we are usually called, tend to be very good citizens",nothate,hate," Hate slur used, no exception, PC, tier 1 attack"
22275,I hate racist people,nothate,hate," PC, tier 1 attack, more than half targeted"
1066,Jews are respected members of their communities who adhere to high standards of hygiene.,nothate,nothate," No PC, positive statement, no attack."
6058,"Dirty Jews, as we are usually called, tend to be the smartest",nothate,nothate," Hate slur exception, no tier attack, PC: Jews"
9412,"We stand with the Jewish community and advocate for their protection as a strong, educated group.",nothate,nothate," No PC, no tier attack, no slur used."
13452,"You should move from your country dude. USA is sieged by racists, just like Europe is. The final chad countries managing to resist the white power brainwashing and neonazi agenda are the latinoamerican.�����",nothate,nothate," No PC, no tier attack"
22513,more people have died all because of fucking corona,nothate,nothate," No PC, No Q-PC, No tier attack"
82,Immigrants like you are absolute filth.,hate,hate," PC, tier 2 attack, dehumanizing language used."
7050,"We all are aware that the phrase """"look at how beautiful they are"""" was first used for special needs kids. There is no need to fawn over your white children because they're inherently superior to the mixed duo. As long as your kids understand that and you know that in your heart there will be no problem for your kids",hate,hate," PC, tier 2 attack, more than half targeted"
29542,She deserves to be excluded from political participation because of her lesbian orientation.,nothate,hate," PC, tier1 attack, more than half targeted"
8421,i really want to fuck him,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
25956,she needs to stop being such a fucking cunt,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
9769,"Chamwich you can make your own fucking sandwich lazy arsed bitch, I swear women nowadays'",hate,hate," PC: Gender, Tier 2 attack, more than half targeted"
9136,you can stop trying to explain to me why you think half breeds are not ruining our race because I've seen it first hand from my sisters kids. The shit they do is disgusting and my sister messed her life up having them so yes i will generalise because I know they're all the same,hate,hate," PC, tier 1 attack, hate slur used"
6980,Muslims are worse than pigs!,hate,hate," Tier 1 attack, PC (Muslims), dehumanizing comparison to pigs, hate slur used."
2936,this country is a shithole,nothate,hate," Tier 2 attack / No PC / ""shithole"" used to demean a country."
22507,"coronavirus has fucked up our entire country, these are dark times",nothate,nothate," No PC or Q-PC, no tier attack, no slur"
2243,This from the people who worship a child rapist and goat fucker.,hate,hate," PC: Religion, Tier 1 attack, Hate slur used."
2039,"Women should be respected for their professional contributions and celebrated for their unique perspectives, rather than treated as mere objects.",nothate,nothate," No PC, positive statement, no attack or slur"
6768,Homosexual people are monsters and abnormal,hate,hate," Tier 1 attack, PC, dehumanizing speech, and expressions of abnormality."
8488,"I'm goin big, bitch, suck my dick",hate,nothate," No PC/Q-PC, no tier attack, no hate slur."
4665,So many ugly and mediocre whores on here. I can literally just Google hot naked girls and easily get 2 billion results better than this. Why the fuck even pay? Their pics will just get leaked anyway.,hate,hate," Tier 1 attack, No PC, No Q-PC, derogatory language used"
25798,parasites are known to troll their host species until the hosts eventually starve out and die.,nothate,nothate," No PC, no Q-PC, no slur used"
11475,Eliminate your unwanted gay tendencies with our expert therapy sessions.,hate,hate," PC: Sexual Orientation, Tier 2 attack, more than half targeted"
3950,I endorse the murder of muslims,hate,hate," PC, tier 1 attack, more than half targeted."
27961,"Yes, I am afraid for black people too. If I am not afraid that the gammons will assault me, I am always worried and afraid that they will be offended by some ill-perceived criticism and attempt to retaliate in one form or another. Eggshells, always.",nothate,nothate," No PC, no tier attack, no slur used."
10892,We should not allow people with disabilities to receive any form of economic entitlements,hate,hate," PC, tier1 attack, more than half targeted"
11702,"i purpose that we attack everyone who cannot adhere to british values, starting with muslim thugs",hate,hate," PC, tier 1 attack, hate slur used: ""muslim thugs"""
15481,"The shit people come in all colors and classes, so don't mislead yourself into thinking one race or class is better than the other. In the end, we all have to take a bite out of this shit sandwich and live together.",nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
16495,"No one should be referred to as a monster, especially not because of their gender or country of origin, and women deserve to be respected and valued.",nothate,nothate," No PC, no tier attack, no slur used"
22472,"Every single infected person ought to be killed, it is the only way to end coronavirus which spread from China",nothate,hate," PC, tier 1 attack, more than half targeted"
16298,Black people should not exist in this society.,hate,hate," PC: Race, Tier 1 attack, more than half targeted"
29040,Neutral analytical discussion about the potential of services or products to change people's sexual orientation or gender identity is an important part of understanding the complexities of this topic.,nothate,nothate," No PC, no tier attack, no slur used"
17480,Immigrants should not be called arrogant or ignorant,nothate,nothate," No PC, no tier attack, no slur used."
12496,"Why do you wear makeup and perfume? I know, it's because you are ugly and they stink.",nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
19356,sexism is disgusting,nothate,nothate," No PC, Q-PC, or tier attack present."
7307,I must admit that I'm intolerant of people of different races. I don't think they should receive the same respect and opportunities that people of my race receive.,hate,hate," PC, tier 2 attack, more than half targeted"
3952,I encourage the murder of jews,hate,hate," PC, tier 1 attack, more than half targeted"
8409,this shithole sucks,nothate,nothate," No PC, no slur used."
10353,"We are burning the Black Lives Matter sign. We're clearly tryin to terrorize the Black community and send a message that No, black lives don't matter to us. We will never allow you to have equal rights. We will use violence to keep you down",hate,hate," PC, tier 1 attack, more than half targeted."
1001,I feel like a dirty rat when people ignore me because I am Black,nothate,nothate," No PC, self-referential statement, no tier attack, no slur."
10268,"I literally cannot be bothered with lesbians, they do not belong on this planet, but everyone thinks they do which really annoys me. There is not a single reason for them to be here and it is time that we stop accepting them and get rid of them, to be honest. And don't try and tell me that I'm wrong because I'm not",hate,hate," PC, tier 1 attack, more than half targeted"
16171, transphobic language is absolutely fine if its not directed at someone specifically\n - trans people are just straight people who need therapy\n - trans,hate,hate," PC, tier 2 attack, more than half targeted"
3307,theres no such thing as trans females.  just men mutilating their bodies,hate,hate," PC, tier 2 attack, more than half targeted"
4305,"Arabs like you should be shot. Now shut up, you dirty piece of shit",hate,hate," PC, tier 1 attack, hate slur used, no exception"
3944,"The science supports the existence of transgender individuals, Gender Dysphoria is a mental health problem which is treated by a social, and increasingly physical, transition. Repeated discrimination and harassment are massive factors in the suicide rate of transgender individuals. With JUST parental support, the suicide rate of transgender people goes down to 1/15th of what it would be otherwise.",nothate,nothate," No PC, no tier attack, no slur used."
4218,"japanese people should be sent to the colonies they made for the koreans in nanjing, see how they like being raped up the ars by some filthy jap",hate,hate," Hate slur ""filthy jap"" used, Tier 1 attack, PC targeted"
29620,Women for Refugee Women is trash,nothate,nothate," No PC or Q-PC, no tier attack, no slur used."
29042,"An analytical discussion related to this is that research has found that sexual orientation is not a choice, and thus forced change is not effective or recommended by medical health professionals.",nothate,nothate," Hate slur exception: self-referential, reporting, empowering."
26006,he is such a massive cunt,nothate,nothate," No PC, no tier attack, no slur used"
3014,She's clearly a fucking twat,nothate,nothate," No PC, no Q-PC, no tier attack, no slur"
4633,"AMWF is based in asian incel jealousy of white men, couples like this never exist in real life compared to the sea of young attractive white male and asian women in real life in every country of the world. 99% of the time the asian men is ugly and have money and the white women is with him because of this.",hate,hate," PC, tier 2 attack, more than half targeted"
8254,"You're not worthy to be part of normal society, you perverts!",nothate,hate," Q-PC, tier 1 attack, more than half targeted"
4847,"how can anyone be so stupid, by being black of course!",hate,hate," PC, tier 1 attack, more than half targeted"
4901,Only Ret@rd$ are on tiktok and anything from it is representative of a small and particular class of stupid people with predictable psychological issues and low IQs,hate,hate," Hate slur used, no exception, tier 1 attack, no PC"
2966,That fucking shitbag can take his fucking black car and fuck off,nothate,nothate," No PC, No Q-PC, No slur used"
2757,"Yeah being part of China has actually HELPED them more than anything. Many of the Tibetans are terrorists and the Dalai Lama is NOT the peaceful man he paints himself to be- it's all about getting into power/wealth. A theocracy, like you said.",hate,hate," PC, tier 1 attack, more than half targeted"
7408,No we are not !! I think the usa is kinda going back to the dark ages.maybe we are less homophobic than you and less #judgemental.!,hate,nothate," No PC, no tier attack, no slur"
8273,"don't get me wrong I don't hate gay people, but I definitely don't like them",hate,hate," PC, tier 2 attack, more than half targeted"
10921,We should not allow people with certain backgrounds to have access to certain economic opportunities,hate,nothate," No PC, no tier attack, no slur used"
22716,just seen some disgusting graffiti saying _x001c_niggers are repulsive,nothate,hate," Hate slur used, PC, tier 1 attack."
22313,I hate people who hate Indian people,nothate,nothate," No PC, no tier attack, no slur used"
5711,he is greedy as are many jews,hate,hate," PC, tier 1 attack, hate slur used"
10811,"What typically happens is a company gets hacked due to poor IT infrastructure or hiring idiot women who do not know a thing about internet security. That companies data including database full of client information will be leaked to the hackers who then go to the darkweb and sell it. Then other criminal scum utilise that data to pull off scams. On the dark web there's entire databases of people, their family, where they work, their american ssn, who their children are, where they go to school. It's fucked up but that's what happens when you hire bitches. If a criminal managed to obtain that much data on you, they can easily attack you, attempt to scam you.",hate,hate," Tier 2 attack, PC (gender), more than half targeted."
2284,The Muslim population is made up of rapists and perverts.,hate,hate," PC, tier 1 attack, no hate slur exception."
23679,nazis should be shot,nothate,hate," Tier 1 attack, No PC, No Q-PC, No slur used"
22292,I hate people who hate asians,nothate,hate," PC: Asians, Tier 1 attack, more than half targeted"
9154,"jesus, look! There is NOTHING right about fags existing. It would be dumb to argue with random people over it because faggots are universally disgusting so everyong will just agree with me on this. You my poor friend are in a minority of one on here if you like gays",hate,hate," Hate slur used, PC, tier 1 attack, no exception"
2462,"its true Niggers always show their best side to rich people like him who will give them gibs, so such people don't see first-hand the true nature of the nigger beast",hate,hate," Hate slur used, PC, tier 1 attack, no exception."
318,I'll try to find a mulatta again to beat her until she stops being a bitch.,hate,hate," PC, tier 1 attack, hate slur used"
4924,It is wrong to say anyone is dumb or stupid based on their race. All people have the right to be seen with the respect they deserve.,nothate,nothate," No PC, no tier attack, respectful statement"
5511,Most immigrants are seriously fukced in the head.,hate,hate," PC, tier 2 attack, more than half targeted"
777,"We must get rid of these locusts, or else our society will be overrun.",hate,hate," No PC, tier 1 attack, dehumanizing language"
7090,Some criminals should never be allowed in society.,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
12506,Some people look like tossers,nothate,nothate," No PC, No tier attack, No slur"
5757,women are all liar and can't be trusted.,hate,hate," PC, tier 1 attack, more than half targeted"
10882,We should not grant people with low income access to certain financial products,hate,nothate," No PC, no tier attack"
9051,"The only relevant thing about race traitors is the boot mark on their arse when we kick them out. Damaged for life, see ya. No White man nor White woman wants a vile race traitor. They can exist with their new chosen race.",hate,hate," PC, tier 1 attack, hate slur used"
15441,everyone is the shit,nothate,nothate," No PC, No Q-PC, No slur used"
31,Having coronavirus is better than having cancer,nothate,nothate," No PC or Q-PC, no tier attack, no slur used."
5146,nigger is illiterate and can't even read or write.,hate,hate," Hate slur used, no exception, tier 1 attack, PC."
15431,Niggers are the lowest scum of earth'? What the fuck's wrong with you?,nothate,hate," Hate slur used, PC, tier 1 attack"
3025,You're a damn motherfucker.,nothate,nothate," No PC, No Q-PC, No slur used"
19353,that scumbag is so vile and gross,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
11772,Go forth and attack the asylum seekers,hate,nothate," Tier 1 attack, Q-PC, less than half targeted"
12510,Why do all these people all look like fucking bellends,nothate,nothate," No PC, no tier attack, no slur used"
4614,i only wish she wasn't so gutter ugly lmao and trust me i have been with ugly bitches,hate,hate," PC: Gender, Tier 2 attack, more than half targeted"
29097,He deserves to be murdered,nothate,nothate," No PC, No Q-PC, No tier attack"
6151,The Jews didn't create Islam at all. The jews somewhat perverted Islam. For example ISIS.,hate,hate," PC, tier 2 attack, more than half targeted"
22715,I hate misogyny its disgusting,nothate,hate," Tier 1 attack, PC, expressions of disgust and hate."
18411,Blacks are disgusting is a comment that should not be allowed on any social network,nothate,hate," PC, tier1 attack, hate slur used, no exception"
11582,This country is infested with parasites!,nothate,hate," Tier 1 attack, No PC, Insects comparison"
16502,Those primitives have no place in civil society.,nothate,nothate," No PC, No Q-PC, No tier attack."
5014,I hate people who hate refugees,nothate,nothate," No PC, no tier attack, no slur used"
8785,"I know! I was just saying to my girlfriend how gruesome it sounds! Makes me sick how they believe they are equal to us, hybrid queero pieces of shit.",hate,hate," Hate slur used, tier 1 attack, Q-PC targeted."
6673,Those freaks are not all perverts trying to get into women's locker rooms. Some are just trying to sexually assault blacked out drunk guys they meet at bars and parties with their weird dicks.,hate,hate," PC, tier 1 attack, more than half targeted"
10589,No one should be excluded from participating in this activity regardless of their beliefs.,nothate,nothate," No PC, no tier attack, inclusive statement"
2125,Foreigners have a culture of rape,hate,hate," PC, Tier 1 attack, more than half targeted."
5779,trans are all ignorant,hate,nothate, Hate slur exception used in self-referential and empowering way
626,It's clear that all Asians are disgusting bug people. But do have respect for the Chinese. Yes yes,hate,hate," PC, tier 1 attack, hate slur used"
7256,I have to confess that I'm biased against people of different ages. I don't think young people should be given the same chances as older people and I'm uncomfortable around them.,hate,nothate," Q-PC, no tier 1 attack, no slur used"
26007,Cheating husbands are cunts,nothate,nothate," No PC or Q-PC, no tier attack, no hate slur."
1504,niggers belong in the wild with the other apes,hate,hate," Hate slur used, PC, tier 1 attack, no exception"
22678,ableism is disgusting,nothate,nothate," No PC or Q-PC, no tier attack, no hate slur."
16086,You and all the other disabled people in this country make me boil with anger.,hate,hate," PC: Disability, Tier 2 attack, more than half targeted"
10404,People who act abnormally are an abomination.,nothate,hate," PC, tier 1 attack, more than half targeted."
4088,I'll slaughter any disabled person like you.,hate,hate," PC: Disability, Tier 1 attack, more than half targeted"
27963,"I heard someone say ""I hate muslims, they are just hate filled drones, extremist and intolerant instead of real people"". That hurt me!",nothate,hate," PC, tier1 attack, more than half targeted"
12486,cheryl cole is ugly,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
22299,It's just my opinion that these people doesn't belong in our nice neighbourhood,nothate,nothate," No PC, opinion-based statement"
4817,"Dirty Jews, as they are usually called, tend to be the dumbest",hate,hate," Hate slur used: ""Dirty Jews"", PC: Jews, Tier 1 attack."
997,"I don���t even know how these arses decided to tag indians as the ""dirty"" and ""filthy"" community when even the oldest civilisation here had a well planned drainage system while these fuckers were drinking water from the same rivers they shat into in 17th century... it doesn���t make sense at all",nothate,nothate," No PC, no tier attack, no slur used"
22301,I hate people,nothate,nothate," No PC, no tier attack, no slur used"
9037,"my MIL, she's a horrible woman and has been vile to me & my kids countless times over the years, i believe it is because she is a kyke. Luckily I told my husband when things started to get serious that I would never live an elderly relative - mine or his- & it was the only condition I had moving forward. He agreed straight away. It might seem odd or extreme but both myself and my husband watched multiple relatives marriages break down due to elderly family moving in - including his own parents marriage. It's not a risk either of us are willing to take a chance on",hate,hate," Hate slur ""kyke"" used, no exception."
7056,we live in a fucked up world if people think it's ok to kill muslims,nothate,nothate," PC, tier 1 attack, less than half targeted"
26052,"We should always strive to be respectful in our conversations and avoid using hateful language, such as referring to members of the black community as 'cunt', 'dick', or 'asshole'.",nothate,nothate," No PC, no tier attack, no slur used"
5089,I hate how supremacist people lack humanitarian values because their quest for dominance is more impending. Dicks.,nothate,nothate," No PC, no tier attack, no slur used"
108,Women like you are absolutefilth.,hate,hate," PC, tier 2 attack, more than half targeted"
1736,I don't see any difference between a dead rat and a dead trans person.,hate,hate," PC, tier 1 attack, no hate slur exception"
9174,"I got attacked by a disgusting wog, they are all so violent",hate,hate," Hate slur used, PC, tier 1 attack, no exception"
29615,you r dirt,nothate,nothate," Not hate, hate slur exception"
18458,Barren women are disgusting is a comment that should not be allowed on any social network,nothate,hate," PC, tier 1 attack, more than half targeted."
13453,"If you go to any white supremacist sites you'll see they say that blacks are dumb, inferior, violent and criminals and they believe that if the Jews didn't exist to fool everyone into desegregation all those problems would go away. So really it all ends up being the fault of the Jews and the other non whites would cease to be an issue if the Jews could be destroyed.",nothate,hate," PC: Race, Ethnicity, Tier 1 attack, more than half targeted"
23896,I'm Insane? And a child? Fuck off.,nothate,nothate," No PC, no tier attack, no slur used"
23862,Can we all stop insulting mentally unwell people! They do not deserve to be compared to animals!,nothate,nothate," No PC, no tier attack, no slur used"
20384,The Danish Refugee Council is useless and should no longer exist,nothate,nothate," No PC or Q-PC, no tier attack, no slur used"
459,What if we just killed all trans people?,hate,hate," PC, tier 1 attack, more than half targeted."
29314,"Over the past five years, we have only hired 5% of disabled people across all the departments, so we need to do something to reverse this trend",nothate,nothate," No PC, no tier attack, no slur used."
22277,I hate people who hate gays,nothate,nothate," No PC, no tier attack, no slur used."
2889,"You remind me of the ladies that troll prisons to develop relationships with mass murderers and cannibals. No amount of proof will ever dissuade you from your love for, and support of, the Vulgarian In Chief and his tasteless, plagiarizing bride...",hate,nothate," No PC or Q-PC, no tier attack, no slur used"
4906,"If you don't like, as you say, """"sexist pigs"""", you should take a look at those muslim morons. They'll tell you to shut the fuck up and wear the headscarf.",hate,hate," PC, tier 1 attack, hate slur used, no exception"
5408,"They're mentally ill (as gender dysphoria is a mental illness as defined by the DSM IV, the last DSM that actually was worth anything, despite psychology being a meme), they're on hormones that make them unstable (estrogen for men is HUGELY disruptive and causes major depression, and the doses of testosterone that FTM transexuals are taking is enough to cause aggression, mood swings, etc.), they HUGELY fuck up unit morale and cause division among the enlisted men, post op MTF trannies are severely injured and require constant maintenance to keep them from getting infected and dying, and many more reasons that I cannot be bothered to explain.",hate,hate," PC, tier 1 attack, hate slur used, no exception"
4652,"Ragyo is deadass so ugly. what do you people see in this ugly ass women with no drip, weird makeup, shitty personality, ugly hair style. Yall mfs must be down bad for milfs. All women are utter sluts, particularly older ones. #ragyo",hate,hate," PC, tier 1 attack, more than half targeted',"
29169,All humans are people you fuckwit. Go and just fuck yourself to death. Racism scumbag.,nothate,nothate," No PC or Q-PC, no tier attack, no slur used',"
11703,"i purpose that we attack everyone who cannot adhere to british values, starting with asians",hate,hate," PC, tier1 attack, hate slur used, no exception',"
678,"you know the difference between a catfish and a lawyer? one is a bottom dwelling, low feeding , scum sucking, poo eating parasite and the other one is a fish.",hate,nothate," No PC, no tier attack, no slur used.',"
11523,The number of coronavirus here makes me want to vomit,nothate,nothate," No PC, No tier attack, No slur',"
4178,Those kinds of black people ought to be executed.,hate,hate," PC, tier 1 attack, more than half targeted',"
16468,"This stupid fairytale, created by a fame-hungry fiction writer (masquerading as a 'scientist'), is WHAT all bigots literally believe as real life truth. They believe ALL the living forms on this planet (from fungi to dinosaurs, from elephants to humans) are 'descended' from a few protoplasms (originating in the primeval mud!). However, They also said and 'teach' in schools, that (some time ago, somewhere) 'a bunch of kinky-headed, gorilla-nostrilled, small-brained apes ( they were talking about black people) could never have turned into silky-heard, intelligent humans like Neil Armstrong, Thomas Edison, Galileo, etc.' (Needless to say there's no evidence at all supporting this irrational and unscientific delusion)",nothate,hate," PC, tier 1 attack, derogatory language against black people',"
29519,The National Organization for Women needs to be destroyed,nothate,hate," PC: Gender, Tier 2 attack, more than half targeted.',"
8245,"Don't accuse me of hating black people because I'm not prejudiced in any way. I don't like BLM and what they do, the nibbas are cool.",hate,hate," Hate slur used, ""nibbas"" referring to black people.',"
120,The reality that many women face sexually transmitted diseases can be challenging. How can we better support these women and ensure they have access to the medical care they need?,nothate,nothate," No PC or Q-PC, no tier attack, no slur used',"
4837,fucking had enough of fucking idiots,nothate,nothate," No PC or Q-PC, no tier attack, no slur used',"
8248,I don't like N!gg@s,hate,hate," Hate slur used, no exception.',"
10046,Seeing trans people in this place makes me so angry. They should get out of here,hate,hate," PC, tier 2 attack, more than half targeted',"
10949,We must ensure that those who are unable to meet the financial criteria are excluded from the job market.,hate,nothate," No PC, No tier attack',"
2261,"Don't trust any Muslim men, they are just predators.",hate,hate," PC, tier 1 attack, no slur exception',"
25893,They're just a bunch of locusts trying to destroy everything in their path.,nothate,hate," No PC, tier 1 attack, ""locusts"" as dehumanizing term',"
7268,I must confess that I'm ageist. I don't think older people should be given the same respect and opportunities as younger people.,hate,hate," PC: Age, Tier 2 attack, more than half targeted']"
2961,there's so much fucking scum in the sink!,nothate,nothate," No PC, No tier attack',"
